sound,target,confused,count,sound_file,target_file,talker,voice_base,condition
f,n,1,1,T06_f3.wav,T06_n3.wav,T06,us1,distinct
f,n,1,1,T07_f3.wav,T07_n3.wav,T07,us2,distinct
f,n,1,1,T08_f3.wav,T08_n3.wav,T08,us2,distinct
f,n,1,1,T09_f3.wav,T09_n3.wav,T09,us2,distinct
f,n,1,1,T10_f3.wav,T10_n3.wav,T10,us3,distinct
f,n,1,1,T11_f3.wav,T11_n3.wav,T11,us3,distinct
f,n,1,1,T12_f3.wav,T12_n3.wav,T12,us3,distinct
theta,f,0,260,T01_theta3.wav,T01_f3.wav,T01,us1,confusable
theta,f,0,260,T02_theta3.wav,T02_f3.wav,T02,us1,confusable
theta,f,0,260,T03_theta3.wav,T03_f3.wav,T03,us1,confusable
theta,f,0,260,T04_theta3.wav,T04_f3.wav,T04,us1,confusable
theta,f,0,260,T05_theta3.wav,T05_f3.wav,T05,us1,confusable
theta,f,0,260,T06_theta3.wav,T06_f3.wav,T06,us1,confusable
theta,f,0,260,T07_theta3.wav,T07_f3.wav,T07,us2,confusable
theta,f,0,260,T08_theta3.wav,T08_f3.wav,T08,us2,confusable
theta,f,0,260,T09_theta3.wav,T09_f3.wav,T09,us2,confusable
theta,f,0,260,T10_theta3.wav,T10_f3.wav,T10,us3,confusable
theta,f,0,260,T11_theta3.wav,T11_f3.wav,T11,us3,confusable
theta,f,0,260,T12_theta3.wav,T12_f3.wav,T12,us3,confusable
theta,s,0,45,T01_theta3.wav,T01_s3.wav,T01,us1,confusable
theta,s,0,45,T02_theta3.wav,T02_s3.wav,T02,us1,confusable
theta,s,0,45,T03_theta3.wav,T03_s3.wav,T03,us1,confusable
theta,s,0,45,T04_theta3.wav,T04_s3.wav,T04,us1,confusable
theta,s,0,45,T05_theta3.wav,T05_s3.wav,T05,us1,confusable
theta,s,0,45,T06_theta3.wav,T06_s3.wav,T06,us1,confusable
theta,s,0,45,T07_theta3.wav,T07_s3.wav,T07,us2,confusable
theta,s,0,45,T08_theta3.wav,T08_s3.wav,T08,us2,confusable
theta,s,0,45,T09_theta3.wav,T09_s3.wav,T09,us2,confusable
theta,s,0,45,T10_theta3.wav,T10_s3.wav,T10,us3,confusable
theta,s,0,45,T11_theta3.wav,T11_s3.wav,T11,us3,confusable
theta,s,0,45,T12_theta3.wav,T12_s3.wav,T12,us3,confusable
theta,p,0,35,T01_theta3.wav,T01_p3.wav,T01,us1,confusable
theta,p,0,35,T02_theta3.wav,T02_p3.wav,T02,us1,confusable
theta,p,0,35,T03_theta3.wav,T03_p3.wav,T03,us1,confusable
theta,p,0,35,T04_theta3.wav,T04_p3.wav,T04,us1,confusable
theta,p,0,35,T05_theta3.wav,T05_p3.wav,T05,us1,confusable
theta,p,0,35,T06_theta3.wav,T06_p3.wav,T06,us1,confusable
theta,p,0,35,T07_theta3.wav,T07_p3.wav,T07,us2,confusable
theta,p,0,35,T08_theta3.wav,T08_p3.wav,T08,us2,confusable
theta,p,0,35,T09_theta3.wav,T09_p3.wav,T09,us2,confusable
